Time,X,Y,Z
0,1.4617978334,1.8531057835,0.0144733125
10,1.4617958069,1.8531306982,0.0143866697
20,0.0000000000,0.0000000000,0.0000000000
30,-0.0000070353,-0.0000002202,0.1149517372
40,-0.0000256407,0.0000001333,0.0139885182
50,-0.0000012938,-0.0000040925,0.0139974058
60,-0.0000050069,-0.0000048222,0.0139737679
70,-0.0000444976,-0.0000015768,0.0138919521
80,-0.0000156884,-0.0000050571,0.0159836709
90,-0.0000191578,-0.0000041691,0.0159481354
100,-0.0000233373,-0.0000041926,0.0159033500
110,-0.0000541179,0.0000008901,0.0157891251
120,-0.0000529447,-0.0000000451,0.0157171115
130,-0.0000521199,-0.0000011302,0.0153471110
140,-0.0000313649,-0.0000032522,0.0153456759
150,-0.0000528197,-0.0000008156,0.0151419966
160,-0.0000340834,-0.0000030700,0.0151412059
170,-0.0000476668,-0.0000011907,0.0156465378
180,-0.0000320832,-0.0000037465,0.0156460144
190,-0.0000464746,-0.0000015164,0.0154546546
200,-0.0000465049,-0.0000014822,0.0153452605
210,-0.0000355737,-0.0000056886,0.0152181443
220,-0.0000359149,-0.0000066043,0.0150929820
230,-0.0000358557,-0.0000072336,0.0149465417
240,-0.0000348156,-0.0000084390,0.0148037355
250,-0.0000337299,-0.0000090560,0.0146507407
260,-0.0000304365,-0.0000092923,0.0146996593
270,-0.0000305022,-0.0000106725,0.0145428795
280,-0.0000279619,-0.0000108470,0.0143777030
290,-0.0000284225,-0.0000104135,0.0142039144
300,-0.0000289099,-0.0000105524,0.0140120657
310,-0.0000292632,-0.0000112786,0.0138217993
321,-0.0000287430,-0.0000105964,0.0136225177
330,-0.0000308230,-0.0000105852,0.0134133352
340,-0.0000304901,-0.0000112037,0.0131954234
350,-0.0000153640,-0.0000142735,0.0138420453
360,-0.0000175411,-0.0000137753,0.0136580691
370,-0.0000174247,-0.0000147194,0.0134652108
380,-0.0000198520,-0.0000158918,0.0132434499
390,0.0000203343,-0.0000248824,0.0150666051
400,0.0000207881,-0.0000255940,0.0149507849
410,0.0000211069,-0.0000273461,0.0148357935
420,0.0000213065,-0.0000284841,0.0147122936
430,0.0000338130,-0.0000307237,0.0151411751
440,0.0000344874,-0.0000313621,0.0150317801
450,0.0000349295,-0.0000335454,0.0149136884
460,0.0000322574,-0.0000327065,0.0147878071
470,0.0000356489,-0.0000322847,0.0146536520
480,0.0000363519,-0.0000347339,0.0142995426
490,0.0000377832,-0.0000353082,0.0141382804
500,0.0000346054,-0.0000352254,0.0139695425
510,0.0000383533,-0.0000365746,0.0137930093
