Time,X,Y,Z
0,0.9652122259,2.3987686634,0.0120420298
11,0.9653451443,2.3988118172,0.0119273169
20,0.9652558565,2.3988838196,0.0118571436
30,0.9652569294,2.3988993168,0.0117419222
40,0.9652959704,2.3988904953,0.0121843237
50,0.0000000000,0.0000000000,0.0000000000
60,-0.0000263694,-0.0000139535,-0.0000081237
70,-0.0000643517,-0.0000147984,0.1143038124
80,-0.0001146209,-0.0000359116,0.2028706223
90,0.0000322399,0.0000202326,0.0140078980
100,0.0000171438,0.0000144263,0.0139852380
110,0.0000177700,0.0000094017,0.0139536122
120,0.0000187622,0.0000087845,0.0139201591
131,0.0000162841,0.0000080841,0.0144576449
140,0.0000173063,0.0000056130,0.0144186672
150,0.0000171075,0.0000040768,0.0143745719
161,0.0000282640,0.0000090439,0.0143256998
170,0.0000131183,0.0000011596,0.0133905495
180,0.0000123980,0.0000000902,0.0133024119
190,0.0000086195,-0.0000045310,0.0132007049
202,0.0000170752,-0.0000007227,0.0131040383
210,0.0000055004,-0.0000086660,0.0130031342
220,0.0000036447,-0.0000107638,0.0128955320
230,0.0000033889,-0.0000107323,0.0127844317
240,0.0000022123,-0.0000128987,0.0126687521
250,0.0000005651,-0.0000132936,0.0125493659
261,0.0000013018,-0.0000140455,0.0126577122
270,0.0000022403,-0.0000143445,0.0125463028
280,-0.0000007001,-0.0000153883,0.0124179870
290,-0.0000009570,-0.0000178419,0.0122971637
300,-0.0000025349,-0.0000211121,0.0121730678
310,-0.0000054143,-0.0000203229,0.0119698308
320,-0.0000045473,-0.0000214936,0.0118338978
330,-0.0000069948,-0.0000209666,0.0116944080
340,-0.0000073800,-0.0000218710,0.0115502058
350,0.0000048795,-0.0000187875,0.0120233437
360,-0.0000014372,-0.0000233947,0.0119075375
370,0.0000005251,-0.0000256008,0.0117886905
380,-0.0000022937,-0.0000277476,0.0116666341
390,0.0000218158,-0.0000174674,0.0130204875
400,0.0000217400,-0.0000185728,0.0129771503
410,0.0000157360,-0.0000233132,0.0129293427
420,0.0000164368,-0.0000255562,0.0128787672
430,0.0000147163,-0.0000275765,0.0128256427
440,0.0000217910,-0.0000261630,0.0132743102
450,0.0000222436,-0.0000289047,0.0132406084
460,0.0000231654,-0.0000318722,0.0132014053
470,0.0000216058,-0.0000344778,0.0131560443
480,0.0000073453,-0.0000403420,0.0122182108
491,0.0000096644,-0.0000415195,0.0121149458
500,0.0000111851,-0.0000425243,0.0120091569
510,0.0000089683,-0.0000467321,0.0119018164
520,0.0000103161,-0.0000514557,0.0117934151
530,0.0000172025,-0.0000516032,0.0121918079
541,0.0000186184,-0.0000521028,0.0121052861
550,0.0000180826,-0.0000539349,0.0120155374
560,0.0000167377,-0.0000551728,0.0119133014
570,0.0000251690,-0.0000505347,0.0126763945
581,0.0000252736,-0.0000496256,0.0126232132
590,1.8725308180,-3.8918826580,0.0125266369
602,1.4019314051,2.4823682308,0.0124643445
612,1.2046146393,2.4737706184,0.0130633619
620,1.1361681223,2.4731130600,0.0130159063
631,1.1361649036,2.4731113911,0.0129803363
641,1.1361635923,2.4731092453,0.0129418448
651,0.9390437603,2.4595932961,0.0128483623
660,0.9389947057,2.4536356926,0.0132745188
671,0.6789700389,2.5424623489,0.0133663388
680,0.6789710522,2.5424602032,0.0133407367
691,0.6896257401,2.5550363064,0.0133245625
701,0.6895195842,2.5550930500,0.0123436498
711,0.7265625596,2.5609645844,0.0122524491
721,0.7265615463,2.5609626770,0.0121588958
732,0.7005034685,2.6190538406,0.0120862667
741,0.6164034605,2.5212581158,0.0119436504
751,0.6636582613,2.4488387108,0.0127143869
760,0.6908923388,2.4663307667,0.0126596224
772,0.7375238538,2.4203794003,0.0125952968
782,0.7739629745,2.3663883209,0.0125680072
793,0.7898935676,2.3787021637,0.0118680000
801,0.7921114564,2.3585340977,0.0117523279
810,0.8247406483,2.3802418709,0.0117190368
820,0.8319966793,2.3659024239,0.0116262380
830,0.8423817158,2.3689968586,0.0113397967
840,0.8351040483,2.3646185398,0.0111914873
850,0.8351052403,2.3646163940,0.0110464143
860,0.8561699986,2.3670618534,0.0108703580
870,0.8523803949,2.3651332855,0.0107467985
880,0.8759866357,2.3631203175,0.0119271530
890,0.8790614009,2.3620615005,0.0118472874
900,0.8818917274,2.3560345173,0.0117695825
910,0.8829293251,2.3599448204,0.0116912657
920,0.8822137713,2.3596549034,0.0116002746
930,0.8851913214,2.3671276569,0.0117083974
940,0.8917471170,2.3677906990,0.0116351554
950,0.8939338326,2.3719928265,0.0115346769
960,0.8984962106,2.3779590130,0.0114267319
970,0.8984833956,2.3779575825,0.0111951632
980,0.8984824419,2.3779530525,0.0110831205
990,0.8984841108,2.3779523373,0.0109667126
1000,0.8980315328,2.3704864979,0.0108437091
1010,0.9004024267,2.3720028400,0.0107052764
1020,0.9070135951,2.3590064049,0.0119498940
1030,0.9244166613,2.3672645092,0.0118955318
1040,0.9242680669,2.3696954250,0.0118308207
1050,0.9285553098,2.3657090664,0.0117799519
1060,0.9310928583,2.3678927422,0.0126406522
1070,0.9289329648,2.3664515018,0.0126095479
