Time,X,Y,Z,Zrange,Gas1L,Gas1R
850,-0.0033530761,-0.0017927221,0.0468613952,16,18775,18639
860,-0.0033876870,-0.0017435977,0.0360413194,17,18775,18639
870,-0.0038549663,-0.0017524429,0.0356557406,17,18775,18639
880,-0.0043299571,-0.0017583352,0.0351051912,17,18775,18639
890,-0.0025076503,-0.0013262456,0.0378182642,17,18775,18639
900,-0.0029524099,-0.0015149165,0.0319876969,18,18775,18639
910,-0.0034093480,-0.0015163714,0.0317921899,18,18775,18639
920,-0.0024873945,-0.0012865188,0.0317891166,18,18775,18639
930,-0.0043166406,-0.0008421213,0.0340386890,18,18775,18639
940,-0.0057197995,-0.0015114441,0.0316941291,18,18775,18639
950,-0.0039194366,-0.0015105110,0.0322054289,15,18775,18639
960,-0.0032188871,-0.0008175849,0.0312587731,15,18775,18639
970,-0.0034456814,-0.0008140409,0.0319317095,15,18775,18639
980,-0.0043720524,-0.0008103302,0.0325908102,15,18775,18639
990,-0.0029787191,-0.0014942633,0.0287309121,19,18775,18639
1000,-0.0029655416,-0.0012698084,0.0289603807,19,18775,18639
1010,-0.0024935571,-0.0012697581,0.0282374341,19,18775,18639
1020,-0.0022474418,-0.0012685172,0.0278031752,19,18775,18639
1030,-0.0026850374,-0.0014998933,0.0281417463,21,18775,18639
1040,-0.0033797051,-0.0003506889,0.0250100791,21,18775,18639
1050,-0.0024622723,-0.0005665715,0.0268666893,21,18775,18639
1060,-0.0021927042,-0.0007076814,0.0287051760,21,18778,18639
1070,-0.0019721705,-0.0005705570,0.0283892173,21,18778,18639
1080,-0.0031142815,-0.0014806372,0.0256911218,18,18778,18639
1090,-0.0044959672,0.0001079073,0.0252959467,18,18778,18639
1100,-0.0031608031,-0.0014684799,0.0351472236,18,18778,18639
1110,-0.0031607449,-0.0007959178,0.0368994400,18,18778,18639
1120,-0.0024683618,-0.0007930899,0.0284773707,15,18778,18639
1130,-0.0024563242,-0.0007898427,0.0284294076,15,18778,18639
1140,-0.0022181650,-0.0010184620,0.0280850921,15,18778,18639
1150,-0.0022071523,-0.0010206084,0.0279656593,15,18778,18639
1160,-0.0035474175,-0.0001539311,0.0230780914,16,18778,18639
1170,-0.0038423617,0.0001288577,0.0225299411,16,18778,18639
1180,-0.0047756415,0.0003750426,0.0209065452,16,18778,18639
1190,-0.0030294952,-0.0014094608,0.0292855408,16,18778,18639
1200,-0.0025637981,-0.0012023186,0.0300052594,16,18778,18639
1210,-0.0043790899,-0.0012045513,0.0282142293,17,18778,18639
1220,-0.0028128868,-0.0009883726,0.0317715406,17,18778,18639
1230,-0.0046561612,0.0001540725,0.0350401178,17,18778,18639
1240,-0.0026562845,-0.0005343765,0.0433821008,17,18778,18639
1250,-0.0039992123,-0.0014671884,0.0357891135,14,18778,18639
1260,-0.0021636190,0.0003841070,0.0406983942,14,18778,18639
1270,-0.0026167533,-0.0000695515,0.0448488817,14,18778,18639
1280,-0.0040246327,-0.0002991909,0.0465930328,14,18778,18639
1290,-0.0047476492,-0.0005392726,0.0460561067,19,18778,18639
1300,-0.0037873553,-0.0006188438,0.0411417261,19,18778,18642
1310,-0.0038222324,-0.0005528483,0.0414583683,19,18778,18642
1320,-0.0026154027,-0.0005520985,0.0415040962,19,18778,18642
1330,-0.0040643215,0.0004017563,0.0456794910,19,18778,18642
1340,-0.0035356458,0.0003939302,0.0353805646,16,18778,18642
1350,-0.0016835477,0.0020147115,0.0334310532,16,18778,18642
1360,-0.0016529926,-0.0013687317,0.0469279513,16,18778,18642
1370,-0.0012524449,-0.0022583222,0.0475282408,16,18778,18642
1380,-0.0005795372,-0.0023118900,0.0419441685,19,18778,18642
1390,-0.0012610130,-0.0025728690,0.0448106341,19,18778,18642
1400,-0.0019264265,-0.0020625507,0.0493708886,19,18778,18642
1410,-0.0019388380,-0.0023997303,0.0499907434,19,18778,18642
1420,-0.0012035011,-0.0033880188,0.0508062802,22,18778,18642
1430,-0.0012271561,-0.0024311198,0.0471806973,22,18778,18642
1440,-0.0009952377,-0.0026336440,0.0475774482,22,18778,18642
1450,-0.0022054254,-0.0026678694,0.0496540181,22,18778,18642
1460,-0.0022109342,-0.0016834417,0.0502515920,22,18778,18642
1470,-0.0010608942,-0.0014696646,0.0376280546,14,18778,18642
1480,-0.0005599780,-0.0024685783,0.0380973630,14,18778,18642
1490,-0.0005558023,-0.0024759672,0.0384714939,14,18778,18642
1500,-0.0005522369,-0.0024764328,0.0385164768,14,18778,18642
1510,-0.0018844652,-0.0023530829,0.0304818489,17,18778,18642
1520,0.0021281736,-0.0034463461,0.0368128605,17,18778,18642
1530,0.0033578328,-0.0024668300,0.0367382430,17,18778,18642
1540,0.0021559503,-0.0039067878,0.0460074730,17,18778,18642
1550,0.0024335105,-0.0043593841,0.0463163815,18,18777,18642
1560,-0.0013151262,-0.0039382544,0.0444429144,18,18777,18642
1570,-0.0020052837,-0.0041628159,0.0447408743,18,18777,18642
1580,-0.0014838066,-0.0045005293,0.0491055027,18,18777,18642
1590,-0.0017932379,-0.0047327220,0.0561210476,18,18777,18642
1600,-0.0019497223,-0.0045759473,0.0427781157,17,18777,18642
1610,-0.0021369692,-0.0040245922,0.0583047345,17,18777,18642
1620,-0.0030982713,-0.0044495566,0.0609681271,17,18777,18642
1630,-0.0022924992,-0.0043301107,0.0636106431,17,18777,18642
1640,-0.0015923864,-0.0040822579,0.0468257442,16,18777,18642
1650,-0.0029113765,-0.0049087773,0.0504272208,16,18777,18642
1660,-0.0010067067,-0.0046591028,0.0558358431,16,18777,18642
1670,-0.0005314581,-0.0047616526,0.0565131493,16,18777,18642
1680,0.0015528484,-0.0046598143,0.0514396057,16,18777,18642
1690,0.0043419637,-0.0053213942,0.0300382189,11,18777,18642
1700,0.0010895454,-0.0047072056,0.0552405566,11,18777,18642
1710,0.0027364837,-0.0056326343,0.0608919077,11,18777,18642
1720,0.0029258288,-0.0055079618,0.0635930374,11,18777,18642
1730,0.0027418227,-0.0067727314,0.0470615365,14,18777,18642
1740,0.0036243240,-0.0067291418,0.0488916300,14,18777,18642
1750,0.0032009676,-0.0068258555,0.0504487529,14,18777,18642
1760,0.0032361657,-0.0087807607,0.0499633662,14,18777,18642
1770,0.0036727355,-0.0080850972,0.0439417660,19,18777,18642
1780,0.0039670882,-0.0084560188,0.0437203422,19,18777,18642
1790,0.0036272623,-0.0090243472,0.0440322198,19,18777,18642
1800,0.0042530391,-0.0091494434,0.0449203365,19,18777,18636
1810,0.0039063259,-0.0084343478,0.0449027717,19,18777,18636
1820,0.0040438613,-0.0085006692,0.0351186618,17,18777,18636
1830,0.0036901582,-0.0087172277,0.0345720090,17,18777,18636
1840,0.0036879859,-0.0088572372,0.0339377634,17,18777,18636
1850,0.0042024972,-0.0088637574,0.0337369591,17,18777,18636
1860,0.0021797249,-0.0083700791,0.0262595154,14,18777,18636
1870,0.0021120915,-0.0087748785,0.0261455756,14,18777,18636
1880,0.0037300675,-0.0092387423,0.0278420132,14,18777,18636
1890,0.0038278303,-0.0089709675,0.0289627574,14,18777,18636
1900,0.0040827761,-0.0090274895,0.0282821544,15,18777,18636
1910,0.0030810626,-0.0089565646,0.0241132975,15,18777,18636
1920,0.0033990180,-0.0082422327,0.0266294163,15,18777,18636
1930,0.0031022937,-0.0096882926,0.0301355533,15,18777,18636
1940,0.0030996737,-0.0100451214,0.0296975058,15,18777,18636
1950,0.0029759796,-0.0090423161,0.0268418547,14,18777,18636
1960,0.0038341326,-0.0092305643,0.0274413023,14,18777,18636
1970,0.0038947512,-0.0088955546,0.0273626745,14,18777,18636
1980,0.0030552256,-0.0083559807,0.0274782795,14,18777,18636
1990,0.0038868103,-0.0095262723,0.0282227192,19,18777,18636
2000,0.0030689279,-0.0092640985,0.0302246902,19,18777,18636
2010,0.0038936641,-0.0089359749,0.0321804881,19,18777,18636
2020,0.0042895894,-0.0094441185,0.0323147550,19,18777,18636
2030,0.0045362036,-0.0095652938,0.0322053619,19,18777,18636
2040,0.0034354788,-0.0086361989,0.0292983670,17,18777,18636
2050,0.0033427009,-0.0083780587,0.0290258881,17,18779,18636
2060,0.0039651771,-0.0091189509,0.0319999419,17,18779,18636
2070,0.0036392144,-0.0098123495,0.0323571190,17,18779,18636
2080,0.0031059021,-0.0098760463,0.0263633970,17,18779,18636
2090,0.0032126219,-0.0086863302,0.0278548114,17,18779,18636
2100,0.0030911188,-0.0083946139,0.0275560506,17,18779,18636
2110,0.0029670096,-0.0097767627,0.0310091581,17,18779,18636
2120,0.0028166198,-0.0100318752,0.0309170038,17,18779,18636
2130,0.0002202705,-0.0076601538,0.0478138775,17,18779,18636
2140,0.0013772107,-0.0135297142,0.0717617497,17,18779,18636
2150,0.0015265530,-0.0153774126,0.0739699826,17,18779,18636
2160,-0.0049245646,-0.0133579290,0.1347063631,17,18779,18636
2170,-0.0045491257,-0.0123696672,0.1054963022,22,18779,18636
2180,-0.0117815696,-0.0110156499,0.0928090736,22,18779,18636
2190,-0.0112989778,-0.0128721986,0.1464471370,22,18779,18636
2200,-0.0178094096,-0.0110862227,0.1484863907,22,18779,18636
2210,-0.0146876052,-0.0106196925,0.1250379831,18,18779,18636
2220,-0.0157799292,-0.0118067907,0.1296123117,18,18779,18636
2230,-0.0154345203,-0.0098729338,0.1337345839,18,18779,18636
2240,-0.0165208671,-0.0095044952,0.1374208927,18,18779,18636
2250,-0.0179648697,-0.0110815028,0.1436914355,17,18779,18636
2260,-0.0090089124,-0.0117137805,0.1021623909,17,18779,18636
2270,-0.0087203244,-0.0119412774,0.1035036072,17,18779,18636
2280,-0.0092238095,-0.0095503516,0.1080627590,17,18779,18636
2290,-0.0117385769,-0.0104391025,0.1153992862,17,18779,18636
2300,-0.0101559646,-0.0116848936,0.0821506679,17,18779,18636
2310,-0.0079394961,-0.0082339365,0.0851692632,17,18779,18636
2320,-0.0075649926,-0.0101256240,0.0886103436,17,18779,18636
2330,-0.0089581981,-0.0112091964,0.1003116593,17,18779,18636
2340,-0.0070533361,-0.0116056018,0.0715546161,18,18779,18636
2350,-0.0096072117,-0.0094307093,0.0771149844,18,18779,18636
2360,-0.0098275198,-0.0092297141,0.0764877051,18,18779,18636
2370,-0.0072223879,-0.0101076895,0.0769132897,18,18779,18636
2380,-0.0082672248,-0.0093576759,0.0809504315,18,18779,18636
2390,-0.0075715464,-0.0093236528,0.0572154783,19,18779,18636
2400,-0.0067216526,-0.0105493553,0.0563812777,19,18779,18636
2410,-0.0068213306,-0.0099589843,0.0558000579,19,18779,18636
2420,-0.0072513246,-0.0095513919,0.0646709427,19,18779,18636
2430,-0.0068062460,-0.0094988048,0.0464526564,17,18779,18636
2440,-0.0097773327,-0.0090381345,0.0592345446,17,18779,18636
2450,-0.0101484172,-0.0087478347,0.0581619367,17,18779,18636
2460,-0.0074400790,-0.0087179393,0.0613839664,17,18779,18636
2470,-0.0074065714,-0.0090305926,0.0466736630,18,18779,18636
2480,-0.0082999608,-0.0108593218,0.0468737744,18,18779,18636
2490,-0.0068369489,-0.0111688720,0.0454935767,18,18779,18636
2500,-0.0066928570,-0.0100507261,0.0467089117,18,18779,18636
2510,-0.0090243714,-0.0090115992,0.0485080332,18,18779,18636
2520,-0.0082101431,-0.0099329995,0.0390872061,16,18779,18636
2530,-0.0068799774,-0.0101601733,0.0377281643,16,18779,18636
2540,-0.0046889037,-0.0114316279,0.0326584838,16,18779,18636
2550,-0.0077112522,-0.0120576844,0.0480271690,16,18779,18636
2560,-0.0084516695,-0.0123891933,0.0364692360,17,18786,18636
2570,-0.0041323793,-0.0126206176,0.0688466951,17,18786,18636
2580,-0.0036455379,-0.0128201656,0.0693094507,17,18786,18636
2590,-0.0006937801,-0.0137831029,0.0696725994,17,18786,18636
2600,-0.0004071128,-0.0137929553,0.0524860546,17,18786,18636
2610,0.0010886677,-0.0149659198,0.0503456146,17,18786,18636
2620,0.0016708595,-0.0140241850,0.0543106496,17,18786,18636
2630,0.0013924646,-0.0146926101,0.0566963665,17,18786,18636
2640,-0.0001075081,-0.0129521349,0.0561480112,17,18786,18636
2650,-0.0004892872,-0.0141272629,0.0465464331,20,18786,18636
2660,-0.0004413503,-0.0103184422,0.0460564457,20,18786,18636
2670,0.0033807040,-0.0099374438,0.0517509542,20,18786,18636
2680,0.0015385423,-0.0095602339,0.0646027252,20,18786,18636
2690,0.0005012989,-0.0089046583,0.0502450466,18,18786,18636
2700,0.0002938103,-0.0082801217,0.0498250313,18,18786,18636
2710,0.0010633405,-0.0087544220,0.0525061637,18,18786,18636
2720,0.0007598778,-0.0088778045,0.0517412238,18,18786,18636
2730,-0.0001117641,-0.0085422909,0.0507475212,14,18786,18636
2740,-0.0006432254,-0.0073153707,0.0384161919,14,18786,18636
2750,-0.0026434031,-0.0077818660,0.0373369567,14,18786,18636
2760,0.0054147299,-0.0049871011,0.0618463531,14,18786,18636
2770,0.0049891304,0.0012466596,0.0600204952,14,18786,18636
2780,0.0015484577,0.0095025832,-0.0172455423,17,18786,18636
2790,0.0011375521,0.0134685133,-0.0630979761,17,18786,18636
2800,-0.0018331357,0.0165530518,-0.1341671944,17,18786,18649
2810,-0.0012412561,0.0204902664,-0.1574563682,17,18786,18649
2820,0.0072187828,0.0289957561,-0.1786800772,21,18786,18649
2830,0.0094674313,0.0350452513,-0.1914482713,21,18786,18649
2840,0.0119979298,0.0441157669,-0.1537534893,21,18786,18649
2850,0.0162931215,0.0483714566,-0.1250282228,21,18786,18649
2860,0.0185883492,0.0533561632,-0.0814284608,21,18786,18649
2870,0.0200653076,0.0541234203,-0.0576718077,0,18786,18649
2880,0.0173148923,0.0462083817,-0.0692042559,0,18786,18649
2890,0.0148408553,0.0366598405,-0.1013270244,0,18786,18649
2900,0.0170484632,0.0473280214,-0.0674090832,0,18786,18649
2910,0.0176626947,0.0486557744,-0.0589728355,1,18786,18649
2920,0.0176024139,0.0520962887,-0.0509397313,1,18786,18649
2930,0.0168212540,0.0522539392,-0.0544989593,1,18786,18649
2940,0.0164109413,0.0523207374,-0.0559240393,1,18786,18649
2950,0.0158371869,0.0526813604,-0.0528628267,29,18786,18649
2960,0.0174258966,0.0472762324,-0.0485016257,29,18786,18649
2970,0.0158405807,0.0441681743,-0.0256531388,29,18786,18649
2980,0.0152908629,0.0412755907,-0.0008015060,29,18786,18649
2990,0.0092895497,0.0386893414,-0.0006974558,29,18786,18649
3000,0.0084519107,0.0309700798,0.0172272567,53,18786,18649
3010,0.0073944721,0.0258082412,0.0325341076,53,18786,18649
3020,0.0071314457,0.0211737733,0.0265083164,53,18786,18649
3030,0.0042585400,0.0118653625,0.0554940403,53,18786,18649
3040,0.0014777980,0.0059288945,0.0645431876,78,18786,18649
3050,-0.0004135283,-0.0014025571,0.0827388465,78,18807,18649
3060,-0.0018167457,-0.0057549868,0.0869085193,78,18807,18649
3070,-0.0041642045,-0.0139664086,0.1086815223,78,18807,18649
3080,-0.0048628189,-0.0194225907,0.1128543615,78,18807,18649
3090,-0.0052854405,-0.0214385539,0.1190464944,96,18807,18649
3100,-0.0056191804,-0.0234317817,0.1261624396,96,18807,18649
3110,-0.0067749200,-0.0284892619,0.1343302876,96,18807,18649
3120,-0.0076605119,-0.0323483944,0.1445485055,96,18807,18649
3130,-0.0071315467,-0.0311799049,0.1401780695,118,18807,18649
3140,-0.0073461542,-0.0309033561,0.1448643655,118,18807,18649
3150,-0.0078933164,-0.0362005159,0.1521352977,118,18807,18649
3160,-0.0082880668,-0.0406442992,0.1590238512,118,18807,18649
3170,-0.0087254448,-0.0437385365,0.1639581919,129,18807,18649
