Time,X,Y,Z
1010,1.2606438398,2.0774211884,0.0129869413
1020,1.2622956038,2.0767941475,0.0128600057
1031,1.2640131712,2.0785920620,0.0127430968
1041,1.2623213530,2.0777027607,0.0126009537
1050,1.2616677284,2.0778174400,0.0126962541
1061,1.2633255720,2.0764760971,0.0125784175
1070,1.2638818026,2.0765097141,0.0124519281
1081,1.2621078491,2.0766398907,0.0123398202
1091,1.2619984150,2.0752577782,0.0122096166
1100,1.2608387470,2.0768957138,0.0128394943
1110,1.2590750456,2.0763218403,0.0127525926
1120,1.2590824366,2.0763204098,0.0126542030
1130,1.2569264174,2.0753829479,0.0125697833
1140,1.2568863630,2.0753529072,0.0118173212
1150,1.2575504780,2.0750689507,0.0116774570
1161,1.2575483322,2.0750677586,0.0115297241
1170,1.2579071522,2.0757973194,0.0113747595
1180,1.2587168217,2.0774383545,0.0112103242
1190,1.2587713003,2.0774972439,0.0122615891
1200,1.2564407587,2.0746278763,0.0121639874
1210,1.2530255318,2.0724093914,0.0120836860
1220,1.2544275522,2.0727593899,0.0119843092
1230,1.2529088259,2.0716440678,0.0131794922
1241,1.2528526783,2.0725963116,0.0131408069
1250,1.2547632456,2.0733146667,0.0131132854
1261,1.2553265095,2.0725870132,0.0130721824
1270,1.2556768656,2.0757050514,0.0130069051
1281,1.2571350336,2.0753264427,0.0129645970
1290,1.2571648359,2.0745849609,0.0129183615
1300,1.2582595348,2.0747983456,0.0128667997
1310,1.2590000629,2.0778014660,0.0128022600
1321,1.2597198486,2.0778617859,0.0128258280
1331,1.2566704750,2.0748844147,0.0127776740
1342,1.2549741268,2.0750958920,0.0127039077
1351,1.2560688257,2.0762696266,0.0126202591
1361,1.2564001083,2.0767621994,0.0135589410
1371,1.2567223310,2.0799863338,0.0135461949
1382,1.2567222118,2.0799875259,0.0135291908
1390,1.2574987411,2.0803241730,0.0135075795
1401,1.2571383715,2.0818648338,0.0134895714
1411,1.2571443319,2.0818643570,0.0136838872
1421,1.2571128607,2.0815961361,0.0136668105
1431,1.2571125031,2.0815961361,0.0136449747
1441,1.2568765879,2.0818741322,0.0136159910
1451,1.2558786869,2.0833165646,0.0129058529
1461,1.2558809519,2.0833144188,0.0128339585
1472,1.2569041252,2.0843238831,0.0127524370
1481,1.2564740181,2.0834300518,0.0126838675
1492,1.2568536997,2.0840892792,0.0135470657
1501,1.2548054457,2.0835282803,0.0135234864
1511,1.2549923658,2.0820798874,0.0134860612
1521,1.2550842762,2.0824625492,0.0134514011
