Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
500,0.0931066498,-0.0571075454,0.0140546178,0.0001494139,-0.0003054328,-0.0025340719,15,19671,19981
510,0.0931066424,-0.0571133532,0.0138727529,0.0001494065,-0.0003112406,-0.0027159369,15,19671,19981
520,0.0931161493,-0.0571170896,0.0145328902,0.0001589134,-0.0003149770,-0.0020557996,16,19671,19981
530,0.0931185409,-0.0571239106,0.0143841617,0.0001613051,-0.0003217980,-0.0022045281,16,19671,19981
540,0.0931181982,-0.0571293533,0.0142292874,0.0001609623,-0.0003272407,-0.0023594024,16,19671,19981
550,0.0931208506,-0.0571356602,0.0140667027,0.0001636147,-0.0003335476,-0.0025219871,16,19671,19981
560,0.0931348726,-0.0571404696,0.0154296625,0.0001776367,-0.0003383569,-0.0011590272,18,19671,19981
570,0.0931372270,-0.0571472645,0.0153301153,0.0001799911,-0.0003451519,-0.0012585744,18,19671,19981
580,0.0931398124,-0.0571537465,0.0152235758,0.0001825765,-0.0003516339,-0.0013651140,18,19671,19981
590,0.0931425020,-0.0571605079,0.0151097290,0.0001852661,-0.0003583953,-0.0014789607,18,19671,19981
600,0.0931446180,-0.0571673624,0.0149889737,0.0001873821,-0.0003652498,-0.0015997160,17,19671,19981
610,0.0931538343,-0.0571732111,0.0156918652,0.0001965985,-0.0003710985,-0.0008968245,17,19671,19981
620,0.0931582525,-0.0571794324,0.0156015288,0.0002010167,-0.0003773198,-0.0009871610,17,19671,19981
630,0.0931595564,-0.0571832210,0.0155031439,0.0002023205,-0.0003811084,-0.0010855459,17,19671,19981
640,0.0931615308,-0.0571895018,0.0153965726,0.0002042949,-0.0003873892,-0.0011921171,17,19671,19981
650,0.0931588858,-0.0571939498,0.0147278504,0.0002016500,-0.0003918372,-0.0018608393,14,19671,19981
660,0.0931611806,-0.0571992211,0.0145832831,0.0002039447,-0.0003971085,-0.0020054067,14,19671,19981
670,0.0931635499,-0.0572055094,0.0144344587,0.0002063140,-0.0004033968,-0.0021542311,14,19671,19981
680,0.0931662619,-0.0572131090,0.0142807197,0.0002090260,-0.0004109964,-0.0023079701,14,19671,19974
690,0.0931720063,-0.0572194643,0.0144697698,0.0002147704,-0.0004173517,-0.0021189200,15,19671,19974
700,0.0931747109,-0.0572282486,0.0143250739,0.0002174750,-0.0004261360,-0.0022636158,15,19671,19974
710,0.0931757465,-0.0572366193,0.0141738765,0.0002185106,-0.0004345067,-0.0024148133,15,19671,19974
720,0.0931794420,-0.0572447181,0.0140158487,0.0002222061,-0.0004426055,-0.0025728410,15,19671,19974
730,0.0931808352,-0.0572524816,0.0138527891,0.0002235994,-0.0004503690,-0.0027359007,15,19671,19974
740,0.0932015851,-0.0572567359,0.0157498717,0.0002443492,-0.0004546233,-0.0008388180,19,19671,19974
750,0.0932042450,-0.0572631061,0.0156824253,0.0002470091,-0.0004609935,-0.0009062644,19,19671,19974
760,0.0932065696,-0.0572708994,0.0156081989,0.0002493337,-0.0004687868,-0.0009804908,19,19671,19974
770,0.0932090506,-0.0572764426,0.0155271273,0.0002518147,-0.0004743300,-0.0010615624,19,19671,19974
780,0.0932165235,-0.0572821535,0.0160159115,0.0002592877,-0.0004800409,-0.0005727783,17,19671,19974
790,0.0932218134,-0.0572884269,0.0159513634,0.0002645776,-0.0004863143,-0.0006373264,17,19671,19974
800,0.0932231694,-0.0572943650,0.0158813782,0.0002659336,-0.0004922524,-0.0007073116,17,19671,19974
810,0.0932256654,-0.0572995394,0.0158044435,0.0002684295,-0.0004974268,-0.0007842463,17,19671,19974
820,0.0932285637,-0.0573050231,0.0157206971,0.0002713278,-0.0005029105,-0.0008679926,16,19671,19974
830,0.0932316557,-0.0573109500,0.0157457273,0.0002744198,-0.0005088374,-0.0008429624,16,19671,19974
840,0.0932355225,-0.0573154539,0.0156549364,0.0002782866,-0.0005133413,-0.0009337533,16,19671,19974
850,0.0932364166,-0.0573255010,0.0155585557,0.0002791807,-0.0005233884,-0.0010301340,16,19671,19974
860,0.0932379365,-0.0573283769,0.0154569587,0.0002807006,-0.0005262643,-0.0011317311,16,19671,19974
870,0.0932421908,-0.0573353879,0.0155636994,0.0002849549,-0.0005332753,-0.0010249903,16,19671,19974
880,0.0932451561,-0.0573409088,0.0154568851,0.0002879202,-0.0005387962,-0.0011318047,16,19671,19974
890,0.0932483748,-0.0573457927,0.0153445369,0.0002911389,-0.0005436800,-0.0012441529,16,19671,19974
900,0.0932500437,-0.0573521219,0.0152265141,0.0002928078,-0.0005500093,-0.0013621757,16,19671,19974
910,0.0932527557,-0.0573588274,0.0151021667,0.0002955198,-0.0005567148,-0.0014865231,16,19671,19974
920,0.0932570845,-0.0573633909,0.0153480479,0.0002998486,-0.0005612783,-0.0012406418,16,19671,19974
930,0.0932599381,-0.0573700294,0.0152322687,0.0003027022,-0.0005679168,-0.0013564210,16,19671,19974
940,0.0932607204,-0.0573759452,0.0151120638,0.0003034845,-0.0005738325,-0.0014766259,16,19672,19974
950,0.0932618529,-0.0573844537,0.0149867814,0.0003046170,-0.0005823411,-0.0016019084,16,19672,19974
960,0.0932715610,-0.0573899075,0.0156649109,0.0003143251,-0.0005877949,-0.0009237789,17,19672,19974
970,0.0932746008,-0.0573959835,0.0155690489,0.0003173649,-0.0005938709,-0.0010196408,17,19672,19974
980,0.0932763144,-0.0574011132,0.0154666239,0.0003190786,-0.0005990006,-0.0011220658,17,19672,19974
990,0.0932772160,-0.0574071817,0.0153570753,0.0003199801,-0.0006050691,-0.0012316145,17,19672,19974
1000,0.0932808444,-0.0574141294,0.0152393794,0.0003236085,-0.0006120168,-0.0013493104,16,19672,19974
1010,0.0932854488,-0.0574178211,0.0154322246,0.0003282130,-0.0006157085,-0.0011564652,16,19672,19974
1020,0.0932894200,-0.0574228466,0.0153161353,0.0003321841,-0.0006207339,-0.0012725545,16,19672,19974
1030,0.0932916552,-0.0574322715,0.0151935238,0.0003344193,-0.0006301589,-0.0013951659,16,19672,19974
1040,0.0932932794,-0.0574380606,0.0150647536,0.0003360435,-0.0006359480,-0.0015239362,16,19672,19974
1050,0.0932918042,-0.0574445315,0.0145010864,0.0003345683,-0.0006424189,-0.0020876033,14,19672,19974
1060,0.0932944119,-0.0574527308,0.0143370228,0.0003371760,-0.0006506182,-0.0022516670,14,19672,19974
1070,0.0932941884,-0.0574571341,0.0141666252,0.0003369525,-0.0006550215,-0.0024220645,14,19672,19974
1080,0.0932977870,-0.0574617796,0.0139891487,0.0003405511,-0.0006596670,-0.0025995411,14,19672,19974
1090,0.0933173299,-0.0574653707,0.0154722072,0.0003600940,-0.0006632581,-0.0011164825,18,19672,19974
1100,0.0933207572,-0.0574685037,0.0153704435,0.0003635213,-0.0006663911,-0.0012182463,18,19672,19974
1110,0.0933246836,-0.0574751943,0.0152615299,0.0003674477,-0.0006730817,-0.0013271598,18,19672,19974
1120,0.0933265388,-0.0574816987,0.0151462201,0.0003693029,-0.0006795861,-0.0014424697,18,19672,19974
1130,0.0933292136,-0.0574892871,0.0150240846,0.0003719777,-0.0006871745,-0.0015646052,18,19672,19974
1140,0.0933311284,-0.0574965142,0.0148839923,0.0003738925,-0.0006944016,-0.0017046975,15,19672,19974
1150,0.0933343768,-0.0575021580,0.0147450725,0.0003771409,-0.0007000454,-0.0018436173,15,19672,19974
1160,0.0933362544,-0.0575080477,0.0145985838,0.0003790185,-0.0007059351,-0.0019901060,15,19672,19974
1170,0.0933379605,-0.0575138889,0.0144453254,0.0003807247,-0.0007117763,-0.0021433644,15,19672,19974
1180,0.0933522731,-0.0575200245,0.0156769399,0.0003950372,-0.0007179119,-0.0009117499,18,19672,19976
1190,0.0933552757,-0.0575275235,0.0155817894,0.0003980398,-0.0007254109,-0.0010069003,18,19672,19976
1200,0.0933595672,-0.0575335324,0.0154805202,0.0004023314,-0.0007314198,-0.0011081696,18,19672,19976
1210,0.0933630839,-0.0575369671,0.0153727876,0.0004058480,-0.0007348545,-0.0012159022,18,19672,19976
1220,0.0933664963,-0.0575447492,0.0152585097,0.0004092604,-0.0007426366,-0.0013301801,16,19672,19976
1230,0.0933707878,-0.0575522482,0.0154444920,0.0004135519,-0.0007501356,-0.0011441978,16,19672,19976
1240,0.0933713913,-0.0575579070,0.0153327473,0.0004141554,-0.0007557943,-0.0012559425,16,19672,19976
1250,0.0933726802,-0.0575629510,0.0152133051,0.0004154444,-0.0007608384,-0.0013753846,16,19672,19976
1260,0.0933760405,-0.0575685985,0.0150872990,0.0004188046,-0.0007664859,-0.0015013907,16,19672,19976
1270,0.0933782980,-0.0575744398,0.0149199991,0.0004210621,-0.0007723272,-0.0016686907,15,19672,19976
1280,0.0933823436,-0.0575814806,0.0147787686,0.0004251078,-0.0007793680,-0.0018099211,15,19672,19976
1290,0.0933842584,-0.0575896911,0.0146291573,0.0004270226,-0.0007875785,-0.0019595325,15,19672,19976
1300,0.0933870822,-0.0575965382,0.0144721298,0.0004298463,-0.0007944256,-0.0021165600,15,19672,19976
1310,0.0933894515,-0.0576011017,0.0143089425,0.0004322156,-0.0007989891,-0.0022797473,18,19672,19976
1320,0.0934056640,-0.0576050691,0.0156810377,0.0004484281,-0.0008029565,-0.0009076521,18,19672,19976
1330,0.0934074894,-0.0576122254,0.0155820297,0.0004502535,-0.0008101128,-0.0010066601,18,19672,19976
1340,0.0934079364,-0.0576156080,0.0154762259,0.0004507005,-0.0008134954,-0.0011124639,18,19672,19976
1350,0.0934107527,-0.0576209761,0.0153633328,0.0004535168,-0.0008188635,-0.0012253569,18,19672,19976
1360,0.0934153572,-0.0576266758,0.0154979117,0.0004581213,-0.0008245632,-0.0010907780,16,19672,19976
1370,0.0934166759,-0.0576321892,0.0153825618,0.0004594401,-0.0008300766,-0.0012061279,16,19672,19976
1380,0.0934178606,-0.0576407760,0.0152588738,0.0004606247,-0.0008386634,-0.0013298159,16,19672,19976
1390,0.0934211686,-0.0576511584,0.0151267694,0.0004639328,-0.0008490458,-0.0014619203,16,19672,19976
1400,0.0934236199,-0.0576588772,0.0149917845,0.0004663840,-0.0008567646,-0.0015969053,15,19672,19976
1410,0.0934234038,-0.0576652996,0.0148440693,0.0004661679,-0.0008631870,-0.0017446205,15,19672,19976
1420,0.0934253782,-0.0576723553,0.0146886986,0.0004681423,-0.0008702427,-0.0018999912,15,19672,19976
1430,0.0934285522,-0.0576807745,0.0145251667,0.0004713163,-0.0008786619,-0.0020635230,15,19681,19976
1440,0.0934311226,-0.0576871261,0.0143533777,0.0004738867,-0.0008850135,-0.0022353120,15,19681,19976
1450,0.0934291109,-0.0576948710,0.0136291152,0.0004718751,-0.0008927584,-0.0029595746,13,19681,19976
1460,0.0934335589,-0.0577002950,0.0134144695,0.0004763231,-0.0008981824,-0.0031742202,13,19681,19976
1470,0.0934344307,-0.0577071831,0.0131921358,0.0004771948,-0.0009050705,-0.0033965539,13,19681,19976
1480,0.0934363231,-0.0577123165,0.0129610542,0.0004790872,-0.0009102039,-0.0036276355,13,19681,19976
1490,0.0934575871,-0.0577155538,0.0147009529,0.0005003512,-0.0009134412,-0.0018877368,18,19681,19976
1500,0.0934614986,-0.0577212311,0.0145593071,0.0005042627,-0.0009191185,-0.0020293826,18,19681,19976
1510,0.0934620872,-0.0577290431,0.0144112930,0.0005048513,-0.0009269305,-0.0021773968,18,19681,19976
1520,0.0934634134,-0.0577350631,0.0142563693,0.0005061775,-0.0009329505,-0.0023323204,18,19681,19976
1530,0.0934759304,-0.0577416569,0.0152391521,0.0005186945,-0.0009395443,-0.0013495376,17,19681,19976
1540,0.0934778452,-0.0577477328,0.0151363192,0.0005206093,-0.0009456202,-0.0014523705,17,19681,19976
1550,0.0934777409,-0.0577529259,0.0150279067,0.0005205050,-0.0009508133,-0.0015607830,17,19681,19976
1560,0.0934797749,-0.0577592477,0.0149132200,0.0005225390,-0.0009571351,-0.0016754698,17,19681,19976
1570,0.0934821814,-0.0577656813,0.0147922216,0.0005249456,-0.0009635687,-0.0017964682,17,19681,19976
1580,0.0934855193,-0.0577718802,0.0147476969,0.0005282834,-0.0009697676,-0.0018409928,15,19681,19976
1590,0.0934883207,-0.0577783361,0.0146175744,0.0005310848,-0.0009762235,-0.0019711154,15,19681,19976
1600,0.0934899971,-0.0577851944,0.0144808087,0.0005327612,-0.0009830818,-0.0021078810,15,19681,19976
1610,0.0934921131,-0.0577905439,0.0143378647,0.0005348772,-0.0009884313,-0.0022508251,15,19681,19976
1620,0.0935088024,-0.0577960201,0.0156277958,0.0005515665,-0.0009939075,-0.0009608939,18,19681,19976
