Time,X,Y,Z,Zrange,Gas1L,Gas1R
870,0.0041499343,0.0058202464,0.0384189896,18,17492,17355
880,0.0032535142,0.0063823904,0.0404827334,18,17492,17355
890,0.0032359865,0.0064174281,0.0407166369,18,17492,17355
900,0.0039785099,0.0058919615,0.0420572795,18,17492,17355
910,0.0025340244,0.0067621311,0.0343333595,14,17492,17355
920,0.0041187494,0.0059195696,0.0414463356,14,17492,17355
930,0.0022725291,0.0061177649,0.0473003350,14,17492,17355
940,0.0023578838,0.0063052317,0.0496622026,14,17492,17355
950,0.0038915221,0.0066486658,0.0405054390,20,17492,17355
960,0.0029885164,0.0067024096,0.0438526459,20,17492,17355
970,0.0041055097,0.0058079069,0.0451745614,20,17492,17355
980,0.0037702702,0.0065263780,0.0492211729,20,17492,17355
990,0.0030367505,0.0065503870,0.0502050556,20,17492,17355
1000,0.0041807336,0.0066999439,0.0401138626,18,17492,17355
1010,0.0027100246,0.0067468612,0.0429605320,18,17492,17355
1020,0.0030169880,0.0067757424,0.0448780544,18,17492,17355
1030,0.0035672102,0.0053066285,0.0458042994,18,17492,17355
1040,0.0040101637,0.0068227099,0.0392592661,13,17492,17355
1050,0.0042384043,0.0055728015,0.0417505726,13,17492,17355
1060,0.0033216164,0.0064577241,0.0457102209,13,17475,17355
1070,0.0042368714,0.0064777834,0.0480127931,13,17475,17355
1080,0.0037237145,0.0064641126,0.0375739858,17,17475,17355
1090,0.0071272147,0.0077814646,0.0392043702,17,17475,17355
1100,0.0083080512,0.0077090776,0.0398619771,17,17475,17355
1110,0.0063452614,0.0063304310,0.0649419501,17,17475,17355
1120,0.0053738449,0.0060527665,0.0635187849,17,17475,17355
1130,0.0046506231,0.0055024778,0.0483674482,22,17475,17355
1140,0.0046166037,0.0061856131,0.0514721125,22,17475,17355
1150,0.0051587354,0.0061776219,0.0535932221,22,17475,17355
1160,0.0055446019,0.0057950462,0.0542640574,22,17475,17355
1170,0.0054736659,0.0059568398,0.0420482345,18,17475,17355
1180,0.0049129855,0.0063287844,0.0420142524,18,17475,17355
1190,0.0050873756,0.0063450965,0.0421756171,18,17475,17355
1200,0.0058555282,0.0059799221,0.0424685925,18,17475,17355
1210,0.0049591325,0.0057800091,0.0445253067,18,17475,17355
1220,0.0050663995,0.0048142723,0.0340009071,17,17475,17355
1230,0.0062024314,0.0047246614,0.0345026068,17,17475,17355
1240,0.0053496743,0.0061214780,0.0397657491,17,17475,17355
1250,0.0049651852,0.0061742826,0.0398905650,17,17475,17355
1260,0.0048957956,0.0062507666,0.0303746425,14,17475,17355
1270,0.0054463004,0.0053468421,0.0311946589,14,17475,17355
1280,0.0045298482,0.0054885983,0.0321262181,14,17475,17355
1290,0.0041059405,0.0058359317,0.0314524062,14,17475,17355
1300,0.0036909506,0.0058538867,0.0263330936,19,17475,17355
1310,0.0036143274,0.0054924255,0.0260808058,19,17475,17337
1320,0.0053766454,0.0052857236,0.0268979408,19,17475,17337
1330,0.0054540988,0.0054352158,0.0279048402,19,17475,17337
1340,0.0055239089,0.0052431896,0.0280391127,19,17475,17337
1350,0.0074208928,0.0045128628,0.0216033012,18,17475,17337
1360,0.0069096745,0.0040653409,0.0269194935,18,17475,17337
1370,0.0070190630,0.0046688709,0.0286635682,18,17475,17337
1380,0.0042585642,0.0021572805,0.0319009982,18,17475,17337
1390,0.0033459472,0.0019714590,0.0277207717,15,17475,17337
1400,0.0040127998,0.0016332014,0.0362560265,15,17475,17337
1410,0.0039080605,0.0021592055,0.0379925370,15,17475,17337
1420,0.0038410404,0.0017409746,0.0386376828,15,17475,17337
1430,0.0043293075,0.0014924218,0.0388089418,15,17475,17337
1440,0.0029781589,0.0006765064,0.0330465995,15,17475,17337
1450,0.0033115167,0.0018354526,0.0379061215,15,17475,17337
1460,0.0025338351,0.0016531846,0.0389941186,15,17475,17337
1470,0.0024094409,0.0010774550,0.0407511927,15,17475,17337
1480,0.0035816375,0.0014245776,0.0323211439,16,17475,17337
1490,0.0032386277,0.0019228024,0.0330815725,16,17475,17337
1500,0.0031898071,0.0004541279,0.0359299518,16,17475,17337
1510,0.0029054289,0.0016840238,0.0411366262,16,17475,17337
1520,0.0025100159,0.0015326268,0.0424140990,19,17475,17337
1530,0.0041987565,-0.0003164103,0.0369857550,19,17475,17337
1540,0.0035504925,0.0014303266,0.0517359376,19,17475,17337
1550,0.0024547465,0.0008914572,0.0561399162,19,17475,17337
1560,0.0027356630,0.0012440288,0.0586304180,19,17478,17337
1570,0.0025379076,0.0007271846,0.0441014990,16,17478,17337
1580,0.0039535547,0.0006823502,0.0462038219,16,17478,17337
1590,0.0040294863,0.0006485938,0.0474796146,16,17478,17337
1600,0.0014506258,0.0014986773,0.0538012795,16,17478,17337
1610,0.0026570784,0.0011869957,0.0498592183,17,17478,17337
1620,0.0024554792,0.0012003961,0.0503987670,17,17478,17337
1630,0.0026166532,0.0013982910,0.0509566180,17,17478,17337
1640,0.0069676782,0.0014389992,0.0494132005,17,17478,17337
1650,0.0074910573,0.0005308066,0.0600167029,17,17478,17337
1660,0.0067343758,0.0017974607,0.0591259673,19,17478,17337
1670,0.0087765148,0.0009159620,0.0609858297,19,17478,17337
1680,0.0077590817,0.0009435890,0.0715512037,19,17478,17337
1690,0.0096432045,0.0009306221,0.0753387436,19,17478,17337
1700,0.0094216103,0.0014378818,0.0576265603,20,17478,17337
1710,0.0092314025,0.0005159630,0.0598823801,20,17478,17337
