Time,X,Y,Z,Zrange,Gas1L,Gas1R
1020,0.0253020041,0.0953366756,0.0459695570,13,18335,18097
1030,0.0215878226,0.0891870633,0.0344642997,12,18335,18095
1040,0.0243805666,0.0919426233,0.0413017273,12,18335,18095
1050,0.0242650658,0.0898328125,0.0405989215,12,18335,18095
1060,0.0228121094,0.0910280794,0.0429268144,12,18335,18095
1070,0.0210364331,0.0800295547,0.0272345506,11,18335,18095
1080,0.0210011229,0.0890257284,0.0433351249,11,18335,18095
1090,0.0179333985,0.0836849213,0.0390958674,11,18335,18095
1100,0.0195564292,0.0861122310,0.0480981059,11,18335,18095
1111,0.0217885915,0.0914654434,0.0647373945,11,18335,18095
1120,0.0224861447,0.0860632136,0.0477944873,11,18335,18095
1130,0.0176629107,0.0843370408,0.0562151931,11,18335,18095
1140,0.0165566783,0.0900847316,0.0692016706,11,18335,18095
1150,0.0160267930,0.0897044986,0.0704362169,11,18335,18095
1160,0.0120303398,0.0855007842,0.0593727790,9,18335,18095
1170,0.0131110363,0.0825533420,0.0663407594,9,18335,18095
1180,0.0107526490,0.0843217075,0.0721225366,9,18335,18095
1190,0.0100214966,0.0835602880,0.0731197596,9,18335,18095
1200,0.0103289615,0.0732165202,0.0485642217,8,18335,18095
1210,0.0106956977,0.0754541084,0.0574936569,8,18335,18095
1220,0.0103130983,0.0744590759,0.0577314645,8,18335,18095
1230,0.0087905060,0.0713424459,0.0565792397,8,18335,18095
1240,0.0104507338,0.0750615448,0.0693621561,8,18335,18095
1250,0.0088831959,0.0730480999,0.0510143861,9,18335,18095
1260,0.0102787437,0.0722553656,0.0526042469,9,18335,18095
1270,0.0109054949,0.0720465407,0.0523988754,9,18335,18095
1280,0.0108818300,0.0718595013,0.0521495007,9,18316,18095
1290,0.0105953915,0.0717604235,0.0374047607,13,18316,18095
1300,0.0111029083,0.0719374940,0.0406847224,13,18316,18095
1310,0.0106589859,0.0717785880,0.0400921777,13,18316,18095
1320,0.0135234213,0.0725611225,0.0429276973,13,18316,18095
1331,0.0158304125,0.0721763223,0.0296729766,11,18316,18095
1340,0.0158426743,0.0724210516,0.0286479443,11,18316,18095
1350,0.0146508077,0.0741127729,0.0246025659,11,18316,18095
1360,0.0118868034,0.0732791424,0.0324629024,11,18316,18095
1370,0.0135881891,0.0738393813,0.0364607535,11,18316,18095
1380,0.0178617965,0.0721664131,0.0268204100,12,18316,18095
1390,0.0111420387,0.0762933120,0.0331207700,12,18316,18095
1400,0.0143605042,0.0768251047,0.0523568541,12,18316,18095
1410,0.0138157792,0.0771856382,0.0537850745,12,18316,18095
1420,0.0101841437,0.0796184391,0.0571566895,8,18316,18095
