Time,X,Y,Z
1840,1.1779261827,1.6920206547,0.0117250104
1850,1.1779853106,1.6908529997,0.0116843227
1860,1.1779959202,1.6909857988,0.0126231145
1870,1.1777331829,1.6913977861,0.0126394955
1880,1.1777327061,1.6913949251,0.0126496144
1890,1.1772738695,1.6920794249,0.0126649057
1900,1.1773936749,1.6920220852,0.0136423549
1910,1.1777421236,1.6915583611,0.0137078054
1920,1.1777851582,1.6914827824,0.0137630897
1930,1.1778563261,1.6901030540,0.0138209201
1940,1.1771148443,1.6884175539,0.0139015317
1950,1.1771150827,1.6884171963,0.0139987553
1960,1.1770161390,1.6890821457,0.0140657555
1970,1.1769430637,1.6891891956,0.0141243301
1980,1.1764851809,1.6881437302,0.0141890235
1990,1.1763356924,1.6882408857,0.0137552796
2000,1.1763342619,1.6882419586,0.0137805352
2010,1.1758074760,1.6898791790,0.0138103757
2020,1.1756676435,1.6899312735,0.0138331261
2030,1.1756422520,1.6906890869,0.0138506964
2040,1.1755721569,1.6909024715,0.0135011571
2050,1.1755043268,1.6905792952,0.0134758130
2060,1.1752151251,1.6906613111,0.0134678492
2070,1.1753087044,1.6906501055,0.0134548591
2080,1.1762259007,1.6907340288,0.0132436659
2090,1.1763176918,1.6906933784,0.0132162757
2100,1.1761654615,1.6907507181,0.0131917270
2110,1.1761645079,1.6907460690,0.0131627573
2120,1.1761673689,1.6907387972,0.0134699252
2130,1.1761696339,1.6912109852,0.0134673053
2140,1.1767115593,1.6925705671,0.0134631144
2150,1.1763027906,1.6920876503,0.0134644238
2160,1.1759729385,1.6927354336,0.0134636257
2170,1.1760171652,1.6916297674,0.0133688012
2180,1.1763873100,1.6924040318,0.0156359784
2190,1.1766220331,1.6942086220,0.0143565806
2200,1.1786956787,1.6949167252,0.0094771395
2210,1.1811970472,1.6961230040,0.0032579056
2220,1.1823693514,1.6959242821,0.0107736057
2230,1.1817845106,1.6938643456,0.0185874552
2240,1.1823623180,1.6926090717,0.0174176451
2250,1.1801483631,1.6906602383,0.0148170125
2260,1.1786446571,1.6911282539,0.0149171082
2271,1.1798899174,1.6933490038,0.0231481101
2280,1.1803076267,1.6934741735,0.0245222002
2290,1.1783605814,1.6901112795,0.0409989096
2300,1.1780641079,1.6906126738,0.0396656059
2310,1.1773170233,1.6905715466,0.0437024646
2320,1.1768633127,1.6901614666,0.0464854017
2330,1.1770185232,1.6897945404,0.0483128689
2340,1.1770743132,1.6896637678,0.0376518145
2350,1.1768690348,1.6905689240,0.0386507176
2360,1.1767200232,1.6902164221,0.0396059826
2370,1.1765704155,1.6899001598,0.0405596197
2380,1.1770244837,1.6899175644,0.0416216329
2390,1.1773464680,1.6901381016,0.0315447077
2400,1.1769073009,1.6894896030,0.0320076160
2410,1.1768994331,1.6893552542,0.0325138345
2420,1.1766452789,1.6897255182,0.0330360867
2430,1.1757538319,1.6912819147,0.0256974027
2440,1.1754642725,1.6915876865,0.0259704888
2450,1.1758499146,1.6917910576,0.0262193717
2460,1.1761460304,1.6917756796,0.0263908803
2471,1.1758915186,1.6918256283,0.0203648917
2480,1.1760249138,1.6918041706,0.0202888940
2490,1.1758223772,1.6918213367,0.0201490186
2500,1.1761374474,1.6903355122,0.0199891590
2510,1.1759383678,1.6902195215,0.0199349001
2520,1.1760385036,1.6906242371,0.0175044779
2530,1.1757452488,1.6905146837,0.0174427629
2540,1.1758865118,1.6900439262,0.0174698122
2550,1.1767431498,1.6913158894,0.0176098198
2560,1.1764831543,1.6915950775,0.0148553215
2570,1.1762967110,1.6912022829,0.0149351023
2580,1.1770290136,1.6906496286,0.0147671970
2590,1.1778358221,1.6891753674,0.0141263083
2600,1.1784479618,1.6888592243,0.0134831350
2610,1.1785809994,1.6889895201,0.0125269592
2620,1.1786531210,1.6892950535,0.0125336144
2630,1.1786835194,1.6897215843,0.0121686356
2640,1.1788766384,1.6898487806,0.0115411468
2650,1.1793793440,1.6903667450,0.0139492759
2660,1.1799306870,1.6906765699,0.0138809336
2670,1.1801764965,1.6911633015,0.0145204915
2680,1.1793217659,1.6902841330,0.0174398702
2690,1.1786618233,1.6904911995,0.0175926127
2700,1.1812270880,1.6887497902,0.0253288336
2710,1.1823846102,1.6884788275,0.0243887622
2720,1.1818487644,1.6878583431,0.0317301415
2730,1.1834590435,1.6866273880,0.0308076888
2740,1.1818395853,1.6869586706,0.0253796782
2750,1.1805218458,1.6878520250,0.0247828253
2760,1.1821104288,1.6888604164,0.0275568534
2770,1.1819301844,1.6901289225,0.0262144823
2780,1.1819928885,1.6902219057,0.0273917299
2790,1.1811921597,1.6900619268,0.0159725863
2800,1.1793333292,1.6892938614,0.0163138974
2810,1.1764689684,1.6819475889,0.0149197923
2820,1.1753889322,1.6823617220,0.0320096165
2830,1.1734305620,1.6833233833,0.0306736715
2840,1.1729650497,1.6840425730,0.0345231965
2850,1.1710946560,1.6845092773,0.0330364108
2860,1.1714640856,1.6849770546,0.0395551808
2870,1.1685670614,1.6859862804,0.0381918326
2880,1.1675612926,1.6873894930,0.0232208781
2890,1.1651530266,1.6883430481,0.0200878363
2900,1.1648110151,1.6879400015,0.0302242376
