Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
510,0.0037605981,0.0006554340,0.0316528901,0.0037605981,0.0006554340,0.0316528901,23,19914,20444
520,0.0037755854,0.0006672876,0.0312999561,0.0037755854,0.0006672876,0.0312999561,18,19914,20444
530,0.0022091027,0.0009337126,0.0258614272,0.0022091027,0.0009337126,0.0258614272,18,19914,20444
540,0.0030879572,0.0009339129,0.0276652016,0.0030879572,0.0009339129,0.0276652016,18,19914,20444
550,0.0037620165,0.0002766955,0.0268527661,0.0037620165,0.0002766955,0.0268527661,18,19914,20444
560,0.0031135231,-0.0001762054,0.0267285425,0.0031135231,-0.0001762054,0.0267285425,18,19914,20444
570,0.0037770448,0.0007126093,0.0240246374,0.0037770448,0.0007126093,0.0240246374,18,19914,20444
580,0.0037922719,0.0002787674,0.0234889816,0.0037922719,0.0002787674,0.0234889816,18,19914,20444
590,0.0038068329,-0.0001589364,0.0223978721,0.0038068329,-0.0001589364,0.0223978721,18,19914,20444
600,0.0031605128,-0.0001741473,0.0217824429,0.0031605128,-0.0001741473,0.0217824429,18,19914,20444
610,0.0029260160,-0.0001605982,0.0192878880,0.0029260160,-0.0001605982,0.0192878880,18,19914,20444
620,0.0037943784,-0.0006131583,0.0191353094,0.0037943784,-0.0006131583,0.0191353094,18,19914,20444
630,0.0038220421,0.0002212802,0.0192133617,0.0038220421,0.0002212802,0.0192133617,18,19914,20444
640,0.0042694379,0.0004589572,0.0178315882,0.0042694379,0.0004589572,0.0178315882,18,19914,20444
650,0.0040858993,0.0002426369,0.0179004073,0.0040858993,0.0002426369,0.0179004073,21,19914,20444
660,0.0028185875,0.0008736500,0.0183133185,0.0028185875,0.0008736500,0.0183133185,21,19914,20444
670,0.0038918173,0.0006304049,0.0210610572,0.0038918173,0.0006304049,0.0210610572,21,19914,20434
680,0.0039050691,-0.0002194777,0.0207380187,0.0039050691,-0.0002194777,0.0207380187,21,19914,20434
690,0.0040953550,-0.0025365744,0.0158985984,0.0040953550,-0.0025365744,0.0158985984,21,19914,20434
700,0.0035331694,-0.0019444133,0.0234417170,0.0035331694,-0.0019444133,0.0234417170,19,19914,20434
710,0.0041679544,-0.0030553627,0.0226340592,0.0041679544,-0.0030553627,0.0226340592,19,19914,20434
720,0.0043928321,-0.0039573885,0.0212084986,0.0043928321,-0.0039573885,0.0212084986,19,19914,20434
730,0.0042178840,-0.0041205003,0.0228709895,0.0042178840,-0.0041205003,0.0228709895,19,19914,20434
740,0.0035806634,-0.0035422361,0.0224016272,0.0035806634,-0.0035422361,0.0224016272,20,19914,20434
750,0.0042206100,-0.0036009462,0.0226777196,0.0042206100,-0.0036009462,0.0226777196,20,19914,20434
760,0.0033699446,-0.0036340242,0.0225593299,0.0033699446,-0.0036340242,0.0225593299,20,19914,20434
770,0.0029120962,-0.0022740522,0.0202755816,0.0029120962,-0.0022740522,0.0202755816,20,19914,20434
780,0.0044178930,-0.0036569429,0.0284639373,0.0044178930,-0.0036569429,0.0284639373,20,19914,20434
790,0.0035811700,-0.0036332214,0.0271927677,0.0035811700,-0.0036332214,0.0271927677,20,19914,20434
800,0.0040152716,-0.0045282249,0.0272682346,0.0040152716,-0.0045282249,0.0272682346,20,19914,20434
810,0.0051222998,-0.0041503897,0.0277252197,0.0051222998,-0.0041503897,0.0277252197,20,19914,20434
820,0.0045219441,-0.0044838642,0.0303975567,0.0045219441,-0.0044838642,0.0303975567,20,19914,20434
830,0.0051720194,-0.0043743388,0.0265944544,0.0051720194,-0.0043743388,0.0265944544,20,19914,20434
840,0.0040997472,-0.0039851423,0.0277241524,0.0040997472,-0.0039851423,0.0277241524,20,19914,20434
850,0.0034193422,-0.0046462789,0.0274880733,0.0034193422,-0.0046462789,0.0274880733,20,19914,20434
860,0.0044096834,-0.0044948612,0.0312773176,0.0044096834,-0.0044948612,0.0312773176,20,19914,20434
870,0.0036418957,-0.0037060690,0.0326624066,0.0036418957,-0.0037060690,0.0326624066,21,19914,20434
880,0.0051861475,-0.0036168182,0.0300817546,0.0051861475,-0.0036168182,0.0300817546,21,19914,20434
890,0.0045580203,-0.0045806584,0.0334348306,0.0045580203,-0.0045806584,0.0334348306,21,19914,20434
900,0.0045665032,-0.0045987112,0.0338397771,0.0045665032,-0.0045987112,0.0338397771,21,19914,20434
910,0.0048073009,-0.0028354672,0.0355460271,0.0048073009,-0.0028354672,0.0355460271,21,19914,20434
920,0.0039101453,-0.0041323071,0.0351910368,0.0039101453,-0.0041323071,0.0351910368,22,19912,20434
930,0.0034460174,-0.0036877485,0.0355525315,0.0034460174,-0.0036877485,0.0355525315,22,19912,20434
940,0.0034249618,-0.0039184266,0.0363474041,0.0034249618,-0.0039184266,0.0363474041,22,19912,20434
